id,group,lang,bytes,tokens,cosine,norm_a,norm_b
synth-ko-128,synthetic,ko,127,31,0.9997541053538611,1.0000000120390267,1.0000000253814982
synth-ko-2048,synthetic,ko,2048,473,0.9996842992676556,1.0000000300377392,1.0000000154392787
synth-ko-32,synthetic,ko,30,9,0.9998173103640142,0.9999999231365928,0.9999999936378301
synth-ko-4096,synthetic,ko,4095,944,0.9995857258137945,1.0000000114688836,0.9999999929002811
synth-ko-512,synthetic,ko,511,120,0.9997079895853328,0.999999954263663,1.0000000386449523
synth-ko-8192,synthetic,ko,8191,1886,0.9993276614726876,0.9999999773744681,1.0000000006404315
synth-ru-1024,synthetic,ru,1024,119,0.9997416251435811,1.000000065295436,0.999999976317626
synth-ru-128,synthetic,ru,128,17,0.9990264255412421,1.0000000098468333,1.0000000318347328
synth-ru-2048,synthetic,ru,2048,234,0.9997146699577323,0.9999999913662646,1.0000000313904942
synth-ru-32,synthetic,ru,32,8,0.9996356142676264,1.0000000281036423,0.9999999779583693
synth-ru-4096,synthetic,ru,4096,471,0.9996632732409313,1.0000000083357876,1.0000000292543432
synth-ru-512,synthetic,ru,512,61,0.9997642715945546,1.0000000045862847,0.9999999870169476
synth-ru-8192,synthetic,ru,8191,936,0.9995860511532099,0.9999999800388825,0.9999999821075541
synth-zh-1024,synthetic,zh,1023,239,0.9997655003162056,1.0000000060984358,1.000000018221183
synth-zh-128,synthetic,zh,126,34,0.9998186899443181,0.9999999876373664,1.0000000386868078
synth-zh-2048,synthetic,zh,2046,475,0.9997286115150568,0.9999999740021169,0.9999999930317651
synth-zh-32,synthetic,zh,30,10,0.9998684581884844,1.000000006975742,0.9999999699418187
synth-zh-4096,synthetic,zh,4095,949,0.9996714268787996,1.0000000048969586,0.9999999566664541
synth-zh-512,synthetic,zh,510,122,0.9997971079088231,0.9999999981548707,1.000000027238393
synth-zh-8192,synthetic,zh,8190,1893,0.9995150108085011,0.9999999799016261,0.9999999948257818
